date,minute,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime,likes,retweets,neutral,negative,positive,composite
2021-02-05,12:42,12:42 PM,859.15,858.79,859.025,601,516274.045,18,859.53,858.69,859.059,13886,11928893.16,88,859.15,858.795,859.53,858.69,0.015778999,0.015797583,0.25,0,1,0,0,0
2021-02-05,12:43,12:43 PM,859.26,858.88,859.123,901,774070,12,859.52,858.769,859.099,13758,11819487.93,77,858.99,859.03,858.84,859.11,0.015894882,0.015844881,0,0,0.885,0.115,0,-0.5994
2021-02-05,12:44,12:44 PM,859.82,858.98,859.256,1012,869567.42,13,859.84,858.7,859.19,12680,10894531.79,81,859.12,859.62,859.09,859.76,0.016052152,0.015952484,0.75,0.25,0.914,0.0575,0.0285,-0.174125
2021-02-05,12:48,12:48 PM,860.23,860.135,860.199,260,223651.855,5,860.39,859.736,860.106,12409,10673059.04,76,860.185,860.23,860.13,859.736,0.01716723,0.017035612,2,0,0.936,0,0.064,0.34
2021-02-05,12:50,12:50 PM,860.13,859.65,859.89,596,512494.36,10,860.375,859.685,860.041,11726,10084841.18,71,859.86,860.13,859.72,860,0.016801844,0.016958752,2.5,0,0.972,0,0.028,0.07565
2021-02-05,12:53,12:53 PM,860.12,859.875,859.987,414,356034.56,9,860.27,859.75,860.063,18113,15578322.79,65,859.875,860.01,859.98,860,0.016916544,0.016984766,1,1,1,0,0,0
2021-02-05,12:54,12:54 PM,860.66,860.645,860.654,183,157499.71,4,860.78,859.882,860.494,21619,18603029.25,115,860.65,860.66,859.882,860.74,0.017705258,0.017494404,307.5,22,0.92,0,0.08,0.11315
2021-02-05,12:55,12:55 PM,860.98,860.82,860.9,202,173901.84,3,861,860.574,860.845,13380,11518111.01,81,860.92,860.98,860.75,861,0.017996147,0.017909445,2.5,0,0.938,0,0.062,0.36345
2021-02-05,12:56,12:56 PM,861.48,861.17,861.359,437,376413.73,13,861.66,861,861.346,26165,22537122.31,143,861.23,861.17,861,861.441,0.018538905,0.018501855,0,0,1,0,0,0
2021-02-05,12:59,12:59 PM,862.25,861.69,862.025,335,288778.25,4,862.267,861.5,861.923,31707,27329001.23,168,861.69,862.25,861.626,861.957,0.019326436,0.019184131,2,0,0.884,0,0.116,0.1779
2021-02-05,13:01,1:01 PM,862.46,861.835,862.077,382,329313.23,7,862.736,861.34,862.019,22717,19582491.04,125,862.01,861.865,861.35,861.696,0.019387925,0.019297646,0.666666667,0.333333333,0.958666667,0.018,0.023666667,-0.025733333
2021-02-05,13:02,1:02 PM,861.635,861.3,861.487,230,198142.05,3,861.75,861.15,861.458,9728,8380268.527,58,861.63,861.3,861.7,861.52,0.018690263,0.01863429,0,0,0.618,0.258,0.124,-0.5267
2021-02-05,13:03,1:03 PM,861.685,861.225,861.332,344,296298.09,14,862.09,860.92,861.645,19731,17001118.17,107,861.685,861.31,861.607,861.28,0.018506978,0.018855408,1,0,1,0,0,0
2021-02-05,13:04,1:04 PM,861.41,861.41,861.41,5,4307.05,1,861.92,861,861.471,11676,10058539.49,56,861.41,861.41,861.47,861.01,0.018599212,0.018649661,7,1,0.916,0,0.084,0.3338
2021-02-05,13:06,1:06 PM,861.83,861.38,861.646,312,268833.66,4,862.06,861.29,861.623,13128,11311384.88,74,861.74,861.38,861.485,861.55,0.018878277,0.018829394,0,0,1,0,0,0
2021-02-05,13:07,1:07 PM,861.38,861.12,861.329,339,291990.565,7,861.47,861.07,861.229,13234,11397499.1,99,861.38,861.3,861.39,861.14,0.018503431,0.018363508,0,0,1,0,0,0
2021-02-05,13:08,1:08 PM,861.145,860.74,860.986,459,395192.785,14,861.3,860.69,861.015,10196,8778907.505,76,861.02,860.92,861.16,860.94,0.018097841,0.018110462,2,0,0.87125,0.02425,0.1045,0.29435
2021-02-05,13:11,1:11 PM,860.46,859.83,860.064,1313,1129264.355,16,860.53,859.7,859.984,20077,17265906.14,111,860.445,860.14,860.319,860.055,0.017007595,0.016891353,1,0,0.743,0,0.257,0.7046
